PLACA;MARCA;MODELO;UNIDADE;PROPRIETARIO;RESPONSAVEL;GERENTE;CNPJ PROPRIETARIO;TIPO PROPRIETARIO;SEGURO STATUS
AJI-0C16;M.BENZ;M.BENZ / ATEGO 2425;PRI PONTA GROSSA GARAGEM;VALDEMIR GONCALVES ROCHA TRANSPORTES LTD;Andrés Alberto Cáceres;Andrés Alberto Cáceres;37.550.198/0001-97;Agente;Ativo
AMY-4H97;M.BENZ;M.BENZ/ATEGO 1725;PRI PONTA GROSSA GARAGEM;VALDEMIR GONCALVES ROCHA TRANSPORTES LTD;Andrés Alberto Cáceres;Andrés Alberto Cáceres;37.550.198/0001-97;Agente;Ativo
APR-6C41;M.BENZ;M.BENZ / ATEGO 2425;PRI PONTA GROSSA GARAGEM;VALDEMIR GONCALVES ROCHA TRANSPORTES LTD;Andrés Alberto Cáceres;Andrés Alberto Cáceres;37.550.198/0001-97;Agente;Ativo
AST-1B34;VOLVO;VOLVO / VM 240 6X2R;PRI PONTA GROSSA GARAGEM;VALDEMIR GONCALVES ROCHA TRANSPORTES LTD;Andrés Alberto Cáceres;Andrés Alberto Cáceres;37.550.198/0001-97;Agente;Ativo
MFS-2C17;M.BENZ;M.BENZ ATEGO 2425;PRI PONTA GROSSA GARAGEM;VALDEMIR GONCALVES ROCHA TRANSPORTES LTD;Andrés Alberto Cáceres;Andrés Alberto Cáceres;37.550.198/0001-97;Agente;Inativo
AOK-7932;M.BENZ;M.BENZ / L1620;PRI PONTA GROSSA GARAGEM;EMIKO ELIZA TANAKA TRANSPORTES - ME;Andrés Alberto Cáceres;Andrés Alberto Cáceres;03.907.456/0001-28;Agente;Inativo
BAF-6533;MBENZ;M.BENZ ATEGO / 2430;PRI PONTA GROSSA GARAGEM;EMIKO ELIZA TANAKA TRANSPORTES - ME;Andrés Alberto Cáceres;Andrés Alberto Cáceres;03.907.456/0001-28;Agente;Inativo
BDV-6I14;MBENZ;M.BENZ / ATEGO 2426;PRI PONTA GROSSA GARAGEM;EMIKO ELIZA TANAKA TRANSPORTES - ME;Andrés Alberto Cáceres;Andrés Alberto Cáceres;03.907.456/0001-28;Agente;Inativo
PLU-6I36;M.BENZ;M.BENZ/AXOR 2041 LS;PRI PONTA GROSSA GARAGEM;EMIKO ELIZA TANAKA TRANSPORTES - ME;Andrés Alberto Cáceres;Andrés Alberto Cáceres;03.907.456/0001-28;Agente;Ativo
FJX-5D11;SCANIA;SCANIA/R 440 A6X2;PRI PONTA GROSSA GARAGEM;EMIKO ELIZA TANAKA TRANSPORTES - ME;Andrés Alberto Cáceres;Andrés Alberto Cáceres;03.907.456/0001-28;Agente;Ativo
AZT-3J47;SCANIA;SCANIA/P 360 A6X2;PRI PONTA GROSSA GARAGEM;TRANSPORTES RUBIAME LTDA;Andrés Alberto Cáceres;Andrés Alberto Cáceres;02.491.037/0001-95;Agente;Ativo
BBM-5G86;SR/FACCHINI SRF CF;FACCHINI;PRI PONTA GROSSA GARAGEM;ANDRE TANAKA MARTINS;Andrés Alberto Cáceres;Andrés Alberto Cáceres;19.078.528/0001-01;Agente;Ativo
MEY-1C33;VOLKSWAGEN;24.250 CNC 6X2;PRI PONTA GROSSA GARAGEM;VALDEMIR GONCALVES ROCHA TRANSPORTES LTD;Andrés Alberto Cáceres;Andrés Alberto Cáceres;37.550.198/0001-97;Agente;Inativo
NFE-5384;GALEGO;REB/TRUCK GALEGO SR;PRI PONTA GROSSA GARAGEM;ANDRE TANAKA MARTINS;Andrés Alberto Cáceres;Andrés Alberto Cáceres;19.078.528/0001-01;Agente;Ativo
AZH-0360;SCANIA;SCANIA/P 360 A 4X2;PRI PONTA GROSSA GARAGEM;TRANSPORTES RUBIAME LTDA;Andrés Alberto Cáceres;Andrés Alberto Cáceres;02.491.037/0001-95;Agente;Ativo
ATP-5H63;RANDON;SR RANDON;PRI PONTA GROSSA GARAGEM;ANDRE TANAKA MARTINS;Andrés Alberto Cáceres;Andrés Alberto Cáceres;19.078.528/0001-01;Agente;Inativo
RTX-6A41;MERCEDES BENZ;M.BENZ/AXOR 2536 S;PRI PONTA GROSSA GARAGEM;EMIKO ELIZA TANAKA TRANSPORTES - ME;Andrés Alberto Cáceres;Andrés Alberto Cáceres;03.907.456/0001-28;Agente;Ativo
PLU-6I36;M.BENZ;M.BENZ/AXOR;EPC CURITIBA;ANDRE TANAKA MARTINS;Andrés Alberto Cáceres;Andrés Alberto Cáceres;19.078.528/0001-01;Agente;Inativo
AWD-2F24;MERCEDES BENZ;ATEGO 2425;EPC CURITIBA;VALDEMIR GONCALVES ROCHA TRANSPORTES LTD;Andrés Alberto Cáceres;Andrés Alberto Cáceres;37.550.198/0001-97;Agente;Ativo
AAV-9E87;M.BENZ;M.BENZ/L 1218;PRI PONTA GROSSA GARAGEM;E C ALVES DE OLIVEIRA TRANSPORTES LTDA;Fernando Henrique De Jesus;Joel Schemuda;41.196.096/0001-92;Agente;Inativo
